Feature,Importance
Product_ID_P00041742,0.0
Product_ID_P00041842,0.0
Product_ID_P00041942,0.0
Product_ID_P00042042,0.0
Product_ID_P00042142,0.0
Product_ID_P00042242,0.0
Product_ID_P00040742,0.0
Product_ID_P00040842,0.0
Product_ID_P00040942,0.0
Product_ID_P00041042,0.0
Product_ID_P00041142,0.0
Product_ID_P00041242,0.0
Product_ID_P00041342,0.0
Product_ID_P00041442,0.0
Product_ID_P00039942,0.0
Product_ID_P00040042,0.0
Product_ID_P00040142,0.0
Product_ID_P00040242,0.0
Product_ID_P00040342,0.0
Product_ID_P00040442,0.0
Product_ID_P00040542,0.0
Product_ID_P00040642,0.0
Product_ID_P00045642,0.0
Product_ID_P00045742,0.0
Product_ID_P00045842,0.0
Product_ID_P00045942,0.0
Product_ID_P00046042,0.0
Product_ID_P00046142,0.0
Product_ID_P00046242,0.0
Product_ID_P00046342,0.0
Product_ID_P00044842,0.0
Product_ID_P00044942,0.0
Product_ID_P00045042,0.0
Product_ID_P00045142,0.0
Product_ID_P00045242,0.0
Product_ID_P00045342,0.0
Product_ID_P00045442,0.0
Product_ID_P00045542,0.0
Product_ID_P00044042,0.0
Product_ID_P00044142,0.0
Product_ID_P00044242,0.0
Product_ID_P00044342,0.0
Product_ID_P00044442,0.0
Product_ID_P00044542,0.0
Product_ID_P00044642,0.0
Product_ID_P00044742,0.0
Product_ID_P00043242,0.0
Product_ID_P00043342,0.0
Product_ID_P00043442,0.0
Product_ID_P00043542,0.0
Product_ID_P00043642,0.0
Product_ID_P00043742,0.0
Product_ID_P00043842,0.0
Product_ID_P00043942,0.0
Product_ID_P00048842,0.0
Product_ID_P00048942,0.0
Product_ID_P00049042,0.0
Product_ID_P00049142,0.0
Product_ID_P00049242,0.0
Product_ID_P00049342,0.0
Product_ID_P00049442,0.0
Product_ID_P00049542,0.0
Product_ID_P00048042,0.0
Product_ID_P00048142,0.0
Product_ID_P00048242,0.0
Product_ID_P00048342,0.0
Product_ID_P00048442,0.0
Product_ID_P00048542,0.0
Product_ID_P00048642,0.0
Product_ID_P00048742,0.0
Product_ID_P00047242,0.0
Product_ID_P00047342,0.0
Product_ID_P00047442,0.0
Product_ID_P00047542,0.0
Product_ID_P00047642,0.0
Product_ID_P00047742,0.0
Product_ID_P00047842,0.0
Product_ID_P00047942,0.0
Product_ID_P00046442,0.0
Product_ID_P00046542,0.0
Product_ID_P00046642,0.0
Product_ID_P00046742,0.0
Product_ID_P00046842,0.0
Product_ID_P00046942,0.0
Product_ID_P00047042,0.0
Product_ID_P00047142,0.0
Product_ID_P00052042,0.0
Product_ID_P00052142,0.0
Product_ID_P00052242,0.0
Product_ID_P00052342,0.0
Product_ID_P00052442,0.0
Product_ID_P00052542,0.0
Product_ID_P00052642,0.0
Product_ID_P00052742,0.0
Product_ID_P00051242,0.0
Product_ID_P00051342,0.0
Product_ID_P00051442,0.0
Product_ID_P00051542,0.0
Product_ID_P00051642,0.0
Product_ID_P00051742,0.0
Product_ID_P00051842,0.0
Product_ID_P00051942,0.0
Product_ID_P00050442,0.0
Product_ID_P00050542,0.0
Product_ID_P00050642,0.0
Product_ID_P00050742,0.0
Product_ID_P00050842,0.0
Product_ID_P00050942,0.0
Product_ID_P00051042,0.0
Product_ID_P00051142,0.0
Product_ID_P00049642,0.0
Product_ID_P00049742,0.0
Product_ID_P00049842,0.0
Product_ID_P00049942,0.0
Product_ID_P00050042,0.0
