Feature,Importance
Product_ID_P00034942,3410.565524674433
Product_ID_P00162042,3406.894061302397
Product_ID_P00162442,3401.5343010612696
Product_ID_P00216142,3393.805788903689
Product_ID_P00091142,3392.711493929885
Product_ID_P00140742,3392.0154983144766
Product_ID_P00015842,3361.8224631505677
Product_ID_P00355942,3357.4608245298887
Product_ID_P00252442,3346.552455673577
Product_ID_P00288942,3332.4914837313645
Product_ID_P00144242,3273.8152762036043
Product_ID_P00119342,3234.5762614641544
Product_ID_P00236042,3217.285029230048
Product_ID_P00221342,3207.3853609354214
Product_ID_P00207942,3192.629376512275
Product_ID_P00075442,3182.9830503315975
Product_ID_P00121642,3174.307438019854
Product_ID_P00230242,3170.1506432645224
Product_ID_P00154742,3147.980230484541
Product_ID_P00101342,3117.895241216006
Product_ID_P00088242,3083.134071024656
Product_ID_P00234842,3033.5539919953985
Product_ID_P00365242,3031.039617229794
Product_ID_P00129342,3017.83892328876
Product_ID_P00170342,3007.683130998522
Product_ID_P00191642,3004.407458857283
Product_ID_P00025442,3003.0743545069163
Product_ID_P00249142,2986.0388351350034
Product_ID_P00015642,2980.918927484826
Product_ID_P00320442,2980.090599291953
Product_ID_P00161942,2944.1397001391274
Product_ID_P00266542,2937.7400153971644
Product_ID_P00227142,2926.147235835846
Product_ID_P00310342,2890.8786114439413
Product_ID_P00327242,2878.330795868926
Product_ID_P00092542,2875.62745294355
Product_ID_P00129542,2868.0094480758535
Product_ID_P00114942,2856.4128706167567
Product_ID_P00141542,2845.839445707803
Product_ID_P00173342,2840.565080718213
Product_ID_P00101942,2839.4770774782055
Product_ID_P00026742,2828.7861839623693
Product_ID_P00193242,2802.0381371333615
Product_ID_P00074242,2799.065235249994
Product_ID_P00106742,2790.9324403048327
Product_ID_P00102542,2790.1647775839397
Product_ID_P00111542,2788.522743276331
Product_ID_P00030042,2772.280055843822
Product_ID_P00053942,2769.0086934147216
Product_ID_P00031442,2751.3937234597415
Product_ID_P00071442,2743.2173838976078
Product_ID_P00351342,2736.844508780013
Product_ID_P00223242,2733.1150321248647
Product_ID_P00119142,2705.2576962816192
Product_ID_P00314342,2702.8910230864167
Product_ID_P00088842,2700.702016193046
Product_ID_P00358242,2693.7455430209056
Product_ID_P00182142,2687.9104025711918
Product_ID_P00105642,2654.4320480280726
Product_ID_P00032042,2643.560994000109
Product_ID_P00270142,2642.031571221656
Product_ID_P00113042,2635.1554179992386
Product_ID_P00006442,2634.641452069119
Product_ID_P00007742,2630.415395132345
Product_ID_P00316142,2615.3588039671467
Product_ID_P00139942,2588.689304084812
Product_ID_P00347242,2573.5742820794576
Product_ID_P00256742,2572.538246076859
Product_ID_P00338442,2572.27446738475
Product_ID_P00277942,2570.155355714518
Product_ID_P00241642,2563.2381531825213
Product_ID_P00102242,2558.629351365147
Product_ID_P00168342,2555.3489013941576
Product_ID_P00313342,2550.347604858026
Product_ID_P00303542,2542.430396536883
Product_ID_P00334242,2528.926209433746
Product_ID_P00195342,2515.471052660611
Product_ID_P00277442,2499.944372108185
Product_ID_P00118742,2481.197788713603
Product_ID_P00120142,2468.9250667398896
Product_ID_P00106042,2455.027848543832
Product_ID_P00145042,2454.237609550364
Product_ID_P00313442,2446.1983595507754
Product_ID_P00235742,2444.5504457324473
Product_ID_P00349442,2443.160758565972
Product_ID_P00090942,2435.789710366895
Product_ID_P00057642,2408.405034378064
Product_ID_P00191442,2404.5786477496945
Product_ID_P00128342,2397.966202908551
Product_ID_P00255842,2391.2210567470916
Product_ID_P00011842,2389.9215507619133
Product_ID_P00197042,2382.872324788267
Product_ID_P00070042,2377.223773261145
Product_ID_P00109942,2374.3859932396003
Product_ID_P00196442,2349.9159498599724
Product_ID_P00148742,2347.4406928503395
Product_ID_P00100942,2333.6865809070955
Product_ID_P00188442,2328.2267820146817
Product_ID_P00185342,2315.2641909230897
Product_ID_P00232342,2312.6053889258033
Product_ID_P00066042,2309.929417551624
Product_ID_P00177042,2296.9347920820446
Product_ID_P00103342,2295.479224809301
Product_ID_P00332242,2290.5398894332293
Product_ID_P00148542,2279.318376035018
Product_ID_P00036242,2275.322138396724
Product_ID_P00057942,2271.765158006744
Product_ID_P00248342,2268.6656342004962
Product_ID_P00279442,2267.322822251958
Product_ID_P00303342,2267.234587489972
Product_ID_P00251242,2251.566513373183
